abandon,"vt.放弃,遗弃;n.放任,狂热"
lounge,"n.闲逛,休闲室,长沙发;vi.闲荡,懒洋洋地躺卧;vt.虚度光阴"
vigorous,"adj.精力旺盛的,有力的,健壮的"
youngster,"n.年青人,少年"
memorize,"v.[亦作memorise]记住,记忆"
vinegar,n.醋
zone,"n.地域,地带,地区,环带,圈;vt.环绕,使分成地带;vi.分成区"
monetary,"adj.货币的,金钱的"
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
abundance,"n.丰富,充裕,丰富充裕"
monopoly,"n.垄断,垄断者,专利权,专利事业"
violence,"n.猛烈,强烈,暴力,暴虐,暴行,强暴"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
morality,adj.道德的;n.道德
violet,n.紫罗兰;adj.紫罗兰色的
aerial,"adj.航空的,生活在空气中的,空气的,高耸的;n.天线"
muscular,"adj.肌肉的,强健的"
violin,"n.小提琴,小提琴手"
aisle,"n.走廊,过道"
notwithstanding,"prep.虽然,尽管;adv.尽管,还是;conj.虽然,尽管"
virtual,"adj.虚的,实质的,[物]有效的,事实上的"
ambitious,"adj.有雄心的,野心勃勃的"
nurture,"n.养育,教育,教养,营养品;vt.养育,给与营养物,教养"
virtually,"adv.事实上,实质上"
applaud,"v.拍手喝彩,称赞,赞同"
olive,"n.橄榄树,橄榄叶,橄榄枝,橄榄色"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇(vertu[vE:5tu:]n.艺术品或古董,爱好古董者)"
appraisal,"n.评价,估价(尤指估价财产,以便征税),鉴定"
optimum,n.最适宜;adj.最适宜的
virus,"n.[微]病毒,滤过性微生物,毒害,恶毒(vires[5vaiEri:z]n.活力)"
auction,n.拍卖;vt.拍卖
paperback,"n.平装本,纸面本"
visible,"adj.看得见的,明显的,显著的;n.可见物"
aviation,"n.飞行,航空,航空学,航空术"
pedestrian,"n.步行者;adj.徒步的,呆板的,通俗的"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象;vt.梦见,想象,显示"
bachelor,"n.单身汉,文理学士,幼雄兽"
permissible,adj.可允许的
visual,"adj.看的,视觉的,形象的,栩栩如生的"
baffle,"vt.困惑,阻碍,为难"
pest,n.有害物
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
ballet,"n.芭蕾舞,芭蕾舞剧,芭蕾舞乐曲"
physiological,"adj.生理学的,生理学上的"
vitamin,"n.维他命,维生素"
beforehand,adv.预先
plague,"n.瘟疫,麻烦,苦恼,灾祸;vt.折磨,使苦恼,使得灾祸"
vivid,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
breakthrough,n.突破
preach,v.鼓吹
vocabulary,"n.词汇,词汇量,词表"
briefcase,"n.(扁平的,柔韧的,装文件,书报的)公文包"
premature,"adj.未成熟的,太早的,早熟的"
volcano,n.火山
brutal,"adj.残忍的,兽性的"
prescription,"n.指示,规定,命令,处方,药方"
volt,"n.(马术中的)环骑,[击剑]闪避,[电工]伏特"
calorie,n.卡路里
prestige,"n.声望,威望,威信"
voltage,"n.[电工]电压,伏特数"
casualty,n.伤亡
prevalent,"adj.普遍的,流行的"
volume,"n.卷,册,体积,量,大量,音量"
census,n.人口普查
productive,"adj.生产性的,生产的,能产的,多产的"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
cling,"vi.粘紧,附着,紧贴,坚持(意见),墨守(习惯)"
productivity,n.生产力
volunteer,"n.志愿者,志愿兵;adj.志愿的,义务的,无偿的;v.自愿"
cognitive,"adj.认知的,认识的,有感知的"
profess,v.表示
vote,"n.投票,选票,表决,得票数;vi.投票;vt.投票,投票决定,公认,<口>建议,使投票"
commonplace,"n.平凡的事,平常话;adj.平凡的"
profitable,adj.有利可图的
wagon,"n.四轮马车,货车;v.用马车运输货物"
compensate,"v.偿还,补偿,付报酬"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
waist,"n.腰部,腰,衣服的上身部分,背心"
concise,"adj.简明的,简练的"
prospective,adj.预期的
waken,vi.醒来;vt.唤醒
conform,"vt.使一致,使遵守,使顺从;vi.符合,相似,适应环境;adj.一致的,顺从的"
pumpkin,n.南瓜
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
consequent,"adj.作为结果的,随之发生的"
purity,"n.纯净,纯洁,纯度"
warmth,"n.暖和,温暖,热心,热情"
console,"vt.安慰,藉慰;n.[计]控制台"
pursuit,n.追击
waterproof,"adj.防水的,不透水的"
continuity,"n.连续性,连贯性"
quest,n.寻求
wax,"n.蜡,蜡状物,增加,月亮由亏转盈;vi.变大,增大,月亮渐满;vt.上蜡于"
cooperative,"adj.合作的,协力的"
random,"n.随意,任意;adj.任意的,随便的,胡乱的;adv.胡乱地"
weaken,"v.削弱,(使)变弱"
corporate,"adj.社团的,法人的,共同的,全体的"
rap,"n.叩击,轻拍,轻敲,斥责;vt.敲,拍,打,厉声说出,斥责,使着迷;vi.敲击,交谈;abbr.[军]RocketAssistedProjectile,火箭助推炮弹"
wealth,"n.财富,财产,大量"
costume,"n.装束,服装"
recite,"v.背诵,朗读,叙述,[律]书面陈述(事实)"
wealthy,"adj.富有的,丰裕的,充分的;n.富人,有钱人"
courtesy,"n.谦恭,允许,礼貌"
reconcile,"vt.使和解,使和谐,使顺从"
weapon,n.武器
coverage,n.覆盖
recycle,"v.使再循环,反复应用;n.再循环,再生,重复利用"
weave,"n.编法,织法,编织;vt.编织,组合,编排,使迂回前进;vi.纺织,迂回行进,摇晃;n.织法,织物"
creation,"n.创造,创作物"
referee,"n.仲裁人,调解人,[体]裁判员;v.仲裁,裁判"
weed,"n.野草,杂草;v.除草,铲除"
cumulative,adj.累积的
relay,"n.驿马,接替,[电工]继电器;vt.(消息,货物等)分程传递,使接替,转播;vi.得到接替,转播"
weekly,"adj.每星期的,一周的;adv.每周一次;n.周刊,周报"
deadly,"adj.致命的,势不两立的,死一般的,极度的,必定的"
repertoire,"n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能"
weep,"n.哭,哭泣,滴下;vi.哭泣,流泪,哀悼,滴落;vt.哭着使...,悲叹,滴下"
decisive,adj.决定性的
residential,"adj.住宅的,与居住有关的"
weld,"vt.焊接;n.焊接,焊缝"
defiance,"n.挑战,蔑视,挑衅"
reunion,"n.团圆,重聚"
welfare,"n.福利,安宁,幸福,福利事业,社会安全;adj.福利的"
deficiency,"n.缺乏,不足"
revelation,"n.显示,揭露,被揭露的事,新发现,启示,揭示"
well-known,"adj.众所周知的,有名的,清楚明白的"
destructive,adj.破坏(性)的
revenge,"n.报仇,复仇;vt.替...报仇,复仇"
whale,n.鲸;v.捕鲸
diligent,"adj.勤勉的,用功的,细心而继续不断的"
revolve,"v.(使)旋转,考虑,循环出现"
whatsoever,pron.任何，无论什么（用于否定句中以加强语气）
disastrous,"adj.损失惨重的,悲伤的"
scrutiny,n.详细审查
whereas,"conj.然而,反之,鉴于,尽管,但是"
divine,"adj.神的,神圣的,非凡的,超人的,非常可爱的;n.牧师"
seemingly,adv.表面上地
whichever,"pron.无论那一个,任何一个"
dock,"n.<美>码头,船坞,被告席,尾巴的骨肉部分;vt.靠码头,引入坞,剪短;vi.入船坞"
silicon,"n.[化]硅,硅元素"
whilst,"conj.时时,同时（与while同义）"
endurance,"n.忍耐(力),持久(力),耐久(性)"
slogan,"n.口号,标语"
whip,"n.鞭子,车夫;v.鞭打,抽打,突然移动"
energetic,"adj.精力充沛的,积极的"
smuggle,"n.走私,偷带;v.走私"
whisper,"n.耳语,私语,密谈,谣传,飒飒的声音;vi.耳语,密谈,飒飒地响;vt.低声说"
enrich,"vt.使富足,使肥沃,装饰,加料于,浓缩"
snack,"n.小吃,快餐,一份;v.吃快餐(小吃)"
whistle,"n.口哨,汽笛,口哨声,汽笛声;v.吹口哨,鸣汽笛"
enthusiastic,"adj.热心的,热情的"
solitary,adj.孤独的
whoever,"pron.任何人,无论谁"
erosion,"n.腐蚀,侵蚀"
stability,n.稳定性
wholly,"adv.整个,统统,全部,专门地"
eternal,"adj.永恒的,永远的,不灭的,没完没了的"
stationary,固定的
wicked,"adj.坏的,邪恶的,缺德的,不道德的,恶劣的,刻毒的,淘气的(wick[wik]n.蜡烛心,灯芯,油绳v.通过毛细作用带走)"
ethnic,"adj.人种的,种族的,异教徒的"
stereo,"n.立体声系统,立体声,[印]铅版,立体照片;adj.立体的,立体感觉的"
widen,"v.加宽,放宽,扩展"
expedition,"n.远征,探险队,迅速,派遣"
stern,"adj.严厉的,苛刻的;n.船尾"
widespread,"adj.分布广泛的,普遍的"
fake,"n.假货,欺骗;adj.假的;vt.伪造,赝造,捏造,假造,仿造;vi.伪装"
subjective,"adj.主观的,个人的"
widow,n.寡妇;v.使成寡妇(或鳏夫)
fitting,"adj.适合的,相称的,适宜的;n.试穿,试衣,装配,装置"
subordinate,"adj.次要的,从属的,下级的;n.下属;v.服从"
width,"n.宽度,宽广,广博,有一定宽度的东西(如一快布料等)"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风;vt.使破裂,使有缺陷,使无效;vi.生裂缝,变的有缺陷"
sue,"vt.控告,向...请求,请愿;vi.提出诉讼,提出请求"
wisdom,"n.智慧,明智的行为,学识,名言,贤人,至理名言"
foster,"vt.养育,抚育,培养,鼓励,抱(希望);n.养育者,鼓励者"
telecommuications,"n.电讯,长途通讯,无线电通讯,电信学"
wit,"n.智力,才智,智慧"
grim,adj.严酷的
thereafter,"adv.其后,从那时以后"
withdraw,"vt.收回,撤消;vi.缩回,退出;v.撤退"
heighten,"v.提高,升高"
tile,"n.瓦片,瓷砖"
withstand,"vt.抵挡,经受住"
heir,"n.继承人,后嗣"
timely,"adj.及时的,适时的"
witness,"n.[律]证人,目击者,证据,证明,证词;vt.目击,为...作证,证明,表明;vi.作证,成为证据"
heritage,"n.遗产,继承权,传统"
token,"n.表示,向征,记号,代币;adj.象征的,表意的"
wolf,"n.狼,残忍贪婪之人,极度的穷困;vt.狼吞虎咽,大吃;vi.猎狼"
hum,"v.嗡嗡叫,哼;n.嗡嗡声,吵杂声"
tolerant,"adj.容忍的,宽恕的,有耐药力的"
wool,"n.羊毛,毛织品,毛线,绒线,毛料衣物"
humanity,"n.人性,人类,博爱,仁慈"
toll,"n.通行税(费),费,代价,钟声;vt.征收,敲钟,鸣(钟)(特指宣布死亡),勾引,引诱;vi.征税,鸣钟"
workman,"n.工人,工匠,男工"
hurricane,"n.飓风,狂风"
tract,"n.广阔的地面,土地,地方,地域,(解剖)管道,小册子"
workshop,"n.车间,工场"
identification,"n.辨认,鉴定,证明,视为同一"
transient,"adj.短暂的,瞬时的;n.瞬时现象"
world-wide,adj.全世界的
illusion,n.幻想
transition,"n.转变,转换,跃迁,过渡,变调"
worm,"n.虫,蠕虫,蚯蚓,蜗杆,螺纹,小人物;vi.蠕行,慢慢前进;vt.使蠕行,慢慢地走,给(烟草作物)除虫"
imaginative,"adj.想象的,虚构的"
tuition,n.学费
worship,"n.崇拜,礼拜,尊敬;vi.敬神,拜神;vt.崇拜,尊敬"
imitation,"n.模仿,效法,冒充,赝品,仿造物"
unemployment,"n.失业,失业人数"
worthless,"adj.无价值的,无益的"
imperative,"n.命令,诫命,需要,规则,祈使语气;adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
unify,"vt.统一,使成一体"
worthwhile,"adj.值得做的,值得出力的"
indicative,"adj.(～of)指示的,预示的,可表示的"
versus,"prep.对(指诉讼,比赛等中),与...相对"
worthy,"n.杰出人物,知名人士;adj.有价值的,应...的,可敬的,值得的,相称的"
induce,"vt.劝诱,促使,导致,引起,感应"
vocal,"adj.发嗓音的,声音的,有声的,歌唱的;n.元音,声乐作品"
wrap,"n.外套,围巾,包裹,秘密,约束,限制;vt.包装,卷,缠绕,包,覆盖,裹,遮蔽,隐藏;vi.缠绕,重叠,穿外衣,包起来"
inland,"adj.内陆的,国内的;adv.在内地,向内地;n.内地"
vulnerable,"adj.易受攻击的,易受...的攻击"
wreck,"n.失事船(或飞机),残骸,(船,飞机的)失事;vt.破坏,拆毁"
instrumental,"adj.仪器的,器械的,乐器的"
wallet,"n.皮夹,钱夹,钓鱼带"
wardrobe,"n.衣柜,衣厨,衣室,衣服,行头,剧装"
warfare,"n.战争,作战,冲突,竞争"
